range_m,TL_coherent_dB,TL_incoherent_dB
3500.0,53.90335792882332,57.463875276512006
3550.0,53.1039934891572,57.54694599166416
3600.0,55.58732374850277,57.62884229764961
3650.0,55.84345958693333,57.70968391580874
3700.0,57.019413935148606,57.78974512312804
3750.0,64.29349568044037,57.868929102226765
3800.0,67.84519896977314,57.94707393514869
3850.0,61.786067506310715,58.02432359340077
3900.0,55.870063357822715,58.100811007425825
3950.0,61.22394805329998,58.17645648368603
4000.0,54.369045496922936,58.251201333166094
4050.000244140625,63.289427500618885,58.32515814905291
4100.0,50.98588422363531,58.39840790720683
4150.0,52.94711759252698,58.470881427336636
4200.0,51.50526132777713,58.542552216113634
4250.0,55.55398904622062,58.61350985873126
4300.0,52.74290064982728,58.683790959744435
4350.0,57.13161424689169,58.753350587750035
4400.0,53.51641889616438,58.82219758857058
4450.0,58.69788556878456,58.89040120756352
4500.0,58.945444960428105,58.9579678634304
4550.0,56.62965457013613,59.024873862110915
4600.0,56.84851697390319,59.0911379938517
4650.0,61.9369297080266,59.15680022648128
4700.0,62.92583002473516,59.221865147587806
4750.0,62.416774718207286,59.28632107895642
4800.0,57.54446754759052,59.35019576010494
4850.0,54.2116846075826,59.41351242947867
4900.0,62.8662780803307,59.476267724709906
4950.0,57.68172289500456,59.53847096421985
5000.0,53.52813698087176,59.60013204268546
5050.0,67.77237318285584,59.661274077005984
5100.0,57.463276515782546,59.721894679994776
5150.0,61.49029390509029,59.7819985716973
5200.0,74.07357779262172,59.84159980714196
5250.0,64.7522584960816,59.90072408414845
5300.0,56.023752608794524,59.959352756829894
5350.0,59.62685152628977,60.01750845147928
5400.0,66.24647524884733,60.07519933795603
5450.0,64.60919444727547,60.13243402569814
5500.0,56.52570630778756,60.18921123170526
5550.0,55.9457129598713,60.2455438904019
5600.0,59.671002805992366,60.301443906729546
5650.0,54.81199368800244,60.35691736635913
5700.0,61.193556659913554,60.41196221583236
5750.0,65.17826565212837,60.4665925374547
5800.0,66.87341643923784,60.520818653554194
5850.0,59.10608423436456,60.57464051229217
5900.0,72.7945103970524,60.628060399827206
5950.0,61.03454729283925,60.68109011783103
6000.0,58.947460351264084,60.73373751423978
6050.0,58.99734788898517,60.786011886313176
6100.0,82.13401759776616,60.83790341405475
6150.0,58.07940903738003,60.88943243066254
6200.0,53.58259976514439,60.94060468229438
6250.0,53.994964279886695,60.991414849218785
6300.0,55.28109004363508,61.04187015768713
6350.0,53.42794877612888,61.09198214498434
6400.0,61.95211644500343,61.141752360598296
6450.0,54.53642579524455,61.19119004776276
6500.0,61.59789196545705,61.24028961417543
6550.0,68.11097587722654,61.28906187545971
6600.0,61.85003495934435,61.3375150543019
6650.0,57.23654806875918,61.38564995497517
6700.0,62.1965834287268,61.433469292219336
6750.0,58.769536521931116,61.480976542353964
6800.0,71.18572609999248,61.52817837203564
6850.0,62.74543276157753,61.57508411472304
6900.0,57.31633204157346,61.621685727558564
6950.0,58.80569467836909,61.667995302326275
7000.0,58.787610362985134,61.71401788936833
7050.0,56.5691772496549,61.75975316029465
7100.0,59.49792070401453,61.80520273109061
7150.0,60.15924718198348,61.85037521676758
7200.0,62.8274328383253,61.8952713177498
7250.0,71.3945710576376,61.939898780336065
7300.0,63.41772812188536,61.984255421319396
7350.0,60.31470021249494,62.02834611132627
7400.0,69.76670828228093,62.07217460994919
7450.0,72.57790061509886,62.11574675921044
7500.0,61.923030843677566,62.159060808678284
7550.0,62.535367965074315,62.20212025223685
7600.0,59.85033838651177,62.24493330295617
7650.0,58.3509560355255,62.28750182167384
7700.0,54.78009648280168,62.32982247891465
7750.0,57.89204089031834,62.371903235525544
7800.0,71.77866724108358,62.41374625992972
7850.0,74.10536059739688,62.45535449171307
7900.0,63.26472758705674,62.49672626652589
7950.0,62.837606187977514,62.53787213343622
8000.0,65.03975273755435,62.578790650657965
8050.0,75.6172600298133,62.619483136209205
8100.00048828125,59.340728341806525,62.65995510584432
8149.99951171875,71.8755807012093,62.70020395050021
8200.0,84.63035708856032,62.740236766411286
8250.0,58.24711144849874,62.780055260009064
8300.0,56.959077858892044,62.819662615703386
8350.0,56.813567807317284,62.85905369081157
8400.0,53.59830948898705,62.89824094137667
8450.0,60.409241091405754,62.93722291396261
8500.0,60.45477951647575,62.97600102092936
8550.0,57.00092677659869,63.01457531216827
8600.0,60.766353034726194,63.05295234757634
8650.0,77.86243467005546,63.0911323494681
8700.0,59.44352190254226,63.129114134400204
8750.0,60.842940986432026,63.16690309010207
