range_m,TL_isovelocity_90m_dB,TL_thermocline_90m_dB,TL_isovelocity_10m_dB,TL_thermocline_10m_dB
2200.0,54.82886453588116,55.3223437447935,54.834853349373574,55.64351711793476
2250.0,54.952519102523816,55.895688983861056,54.958712657880795,55.81180784317879
2300.0,55.07611337152815,56.33288480539172,55.08147270735126,55.89887177259971
2350.0,55.19587521730329,56.71958625576811,55.19963311257734,55.95707713250087
2400.0,55.312109982923445,57.0363124113221,55.3143895958467,56.18014647825951
2450.0,55.42734718345517,57.24680371359177,55.42927966077351,56.13640486622967
2500.0,55.54075160695959,57.55666491633021,55.54352060310936,56.22858735044581
2550.0,55.65057855549191,57.79045701715974,55.6545691180796,56.23877493602332
2600.0,55.75831726474717,58.00337485922058,55.76306226699713,56.3974584345564
2650.0,55.86579321307889,58.125407592555895,55.870600452155784,56.710367208144305
2700.0,55.972032076187205,58.347377509645256,55.976250114580736,56.4528192708911
2750.0,56.075763323811294,58.4991844638074,56.079007648102646,56.74388052491021
2800.0,56.177726953322605,58.5708431053622,56.18021747853714,57.08079299643803
2850.0,56.27858577415711,55.05675437546258,56.280997976702,57.08444622283676
2900.0,56.37755577127385,56.03698396628565,56.38049620402339,57.26815415496319
2950.0,56.474360771139885,56.3814961246267,56.477952962792486,57.39809769239439
3000.0,56.570019232168036,54.55966229503119,56.57399949838745,57.22925037368932
3050.0,56.665002233060456,54.98321842556584,56.66895598689887,57.55363922066589
3100.0,56.75865951078262,55.27694355983601,56.76219572466272,57.61366975723433
3150.0,56.85071265252378,55.572654252799964,56.853679770814225,57.27063888576172
3200.0,56.941612707590124,55.76548262665608,56.94420490111422,57.99848364278265
3250.0,57.0313709841718,55.85396679550414,57.033990826520125,57.596849646823
3300.0,57.11961011221331,56.08803375752888,57.12254566226288,58.166651203996445
3350.0,57.20649522594236,56.62586917038329,57.209780029049554,57.99796327472634
3400.0,57.292526336254326,57.50144377646787,57.29599641875582,58.22258689521575
3450.0,57.37773117880757,58.12325086716267,57.381135995825304,58.24213557628813
3500.0,57.46181705265056,58.50082564650538,57.4649423321181,58.360190750058685
3550.0,57.544813875257844,59.064519532315465,57.54760852554054,58.477345185163834
3600.0,57.62687079937216,59.10182540371362,57.62948724862997,58.915982725620395
3650.0,57.70789746188336,59.60426321754546,57.710562519888754,58.80053592711335
3700.0,57.7877877153377,59.80072323219079,57.790641272366656,58.784212534626896
3750.0,57.866727549599716,60.048116707756456,57.86976382878743,59.005415357203205
3800.0,57.9449219254052,60.238536535293804,57.948031974490284,59.01096932315813
3850.0,58.022317439703826,60.40359688686821,58.02535463544429,59.35395346132688
3900.0,58.098820419712325,60.40146908573901,58.101678071308676,59.034053095907915
3950.0,58.17449110013268,60.945685310665716,58.17716554061934,59.312717231865626
4000.0,58.24935617934336,60.91634097639706,58.2519462845501,59.0940390979462
4050.000244140625,58.32335390822102,61.204957948230145,58.32598702485967,59.65822680682396
4100.0,58.39648582030847,57.42350366538112,58.39922446041413,59.4605064092615
4150.0,58.46887372175737,58.188684959652875,58.471702278465614,59.48028229252775
4200.0,58.540597969222105,58.484098246726745,58.54344741827566,59.729098516263825
4250.0,58.61160852690918,56.42710064331123,58.61439430084662,59.98455757972727
4300.0,58.68190459069811,56.87507920533931,58.68457656081823,59.85712471884605
4350.0,58.75151123388384,57.12303574314137,58.75408030602648,59.889552858310786
4400.0,58.820420399335724,57.42500478473949,58.822949008440375,59.69258356667047
4450.0,58.8886144585565,57.74844944497828,58.891172791002205,60.133340654518356
4500.0,58.95612412266031,57.52124000483916,58.958741884868154,60.15937134610642
4550.0,59.02301315519737,57.9382768904176,59.02567285034277,60.25082276413904
4600.0,59.08930856489065,58.811101628258925,59.09196222786925,60.6496297655177
4650.0,59.15499269654624,59.79657462069078,59.157594924665474,59.471726910555425
4700.0,59.220079152833904,60.24398170519109,59.222609420468046,60.05307801483276
4750.0,59.284575793548264,60.768464659827124,59.28704760848439,60.33114854722116
4800.0,59.348478870366876,60.711963474074544,59.35093234415304,60.469545358003614
4850.0,59.41177919998196,61.26891179007393,59.414250621862436,61.09188468192349
4900.0,59.47451336230642,61.37736571403244,59.47701412630505,61.046181697684645
4950.0,59.53671933268967,61.81414406473097,59.539233278726996,60.23047407881638
5000.0,59.59839786326032,61.96548866147136,59.60089785683219,60.471428345224254
5050.0,59.659551956011214,62.399427172934196,59.66201223339585,61.23005252677353
5100.0,59.72019574724114,62.06720974107856,59.72260862467329,61.35013549805918
5150.0,59.78032530800047,62.31614723825664,59.782707612119516,61.115553854961234
5200.0,59.8399408337698,62.629569262928584,59.84231174386358,61.52660811103889
5250.0,59.89905178184874,62.8997219207481,59.901428886575914,60.76762898807249
5300.0,59.957680198422445,62.70972536346109,59.960070385132134,61.07360505667059
5350.0,60.01584289238478,59.13928486892164,60.01823495410913,61.37606535057907
5400.0,60.07354205619979,59.714282919265685,60.075917421588905,61.88086840247914
5450.0,60.13078939820238,60.1835116170113,60.13313529428724,61.83461067526454
5500.0,60.18758785013404,57.82441178399556,60.18990366369714,60.40566110842471
5550.0,60.24393698631573,58.36598281957812,60.2462335462357,62.054503165401265
5600.0,60.29984075891537,58.59767153304949,60.302129116309764,61.64668437526339
5650.0,60.35531079508595,59.06037402394452,60.35760117110427,60.9289330346883
5700.0,60.41035974309405,59.2505746032372,60.412652488704914,62.20880178484296
5750.0,60.465001290619696,58.99682484800809,60.46728876627765,61.407337442940005
5800.0,60.51923193409379,59.705045395288096,60.521499915358774,61.18887655037348
5850.0,60.57306229340834,60.52031029204894,60.57531142319338,62.192192175512574
5900.0,60.626499615520245,61.129170624353605,60.62872512258748,61.859773414119765
5950.0,60.679542192059415,61.629694669563904,60.68175672400386,61.211351074513225
6000.0,60.7321950298531,62.19028638224184,60.73440047061426,62.3232084283123
6050.0,60.78446451859918,62.4899428651915,60.78667054204628,62.73870164883287
6100.0,60.836366259266306,63.16497333991377,60.8385671303392,62.61995616386344
6150.0,60.887902930462936,63.666104688572965,60.8900961752915,62.18004624616236
6200.0,60.93907741158149,63.201853180528545,60.94125600888035,62.34502585468804
6250.0,60.9898973173134,63.78578908298958,60.992057528528115,62.58919130068342
6300.0,61.04036658245347,63.915930951819526,61.04251088065374,62.86451299029703
6350.0,61.09048649404205,64.51002026555847,61.09262313518455,63.00014352205722
6400.0,61.14026310498173,64.07938708125661,61.14239069117996,61.62720651620053
6450.0,61.189698090291806,64.39037781154701,61.19182390282772,63.115239206310186
6500.0,61.2388066924709,64.60594013037297,61.24092472964737,62.92843911236561
6550.0,61.287588195443796,64.69390243474191,61.28969939430928,61.521966500341485
6600.0,61.33604669328962,60.68517313159256,61.33814670280177,63.47463470569346
6650.0,61.3841882580519,61.391759723341025,61.386273252282194,62.99671832378572
6700.0,61.432015624059424,61.52399987492137,61.434088874453025,62.55194058026962
6750.0,61.47953288651344,59.30181584292447,61.48159532546024,63.54211508863595
6800.0,61.526741316019525,59.63368153783654,61.528798115536574,63.35062777929912
6850.0,61.573647156011475,59.82913597485789,61.575696303464724,63.82149271519434
6900.0,61.620255661568905,60.36784413669268,61.62229755330558,63.5831292090463
6950.0,61.666572905172856,60.53651357903772,61.66860978623483,62.77588054441501
7000.0,61.712601483314685,60.05312888341421,61.714623319459264,63.9868627422998
7050.0,61.7583422767605,61.22492569653042,61.760353737522536,63.35742896419477
7100.0,61.80380000319425,62.188330922576405,61.805802102278406,63.90615161122189
7150.0,61.84897893682964,62.563395678347106,61.850973333649144,63.53832276019772
7200.0,61.89388037783818,63.441482315787326,61.8958700186844,62.53521064510782
7250.0,61.9385101561211,64.07997175921611,61.94049171529274,62.947071754855145
7300.0,61.9828749339447,63.84287963079899,61.984846309014465,63.11930588455624
7350.0,62.02697200710464,64.99309553783799,62.028938728934726,63.832985635408974
7400.0,62.07080767258606,64.80430874192744,62.072763807042854,62.88788608511282
7450.0,62.11438262198564,65.3151893198704,62.116327953198294,63.624679405739926
7500.0,62.1577008710835,65.03317646268333,62.15964101844535,65.31339856345555
7550.0,62.20077179524151,65.44838635657425,62.202700739484094,62.23240356548629
7600.0,62.243586693234256,65.1116459256448,62.24551207541094,64.23817226125679
7650.0,62.28615780606866,64.7930116047825,62.288076200138704,61.11719584833209
7700.0,62.32848578087322,65.90601840650586,62.330394373497874,63.74117827299933
7750.0,62.37057266683219,66.2339967812022,62.37247458568259,63.79410493508043
7800.0,62.412419945556096,58.10817039190301,62.414313025717576,64.11122473139989
7850.0,62.45403388080726,61.90789175796007,62.45591861272687,64.3141040685745
7900.0,62.49541552335284,62.90504296445693,62.49728971100936,63.127626137899
7950.0,62.53656735384268,55.527874517649,62.538434867432855,64.47106813672127
8000.0,62.577485152318395,60.583630808962674,62.579349238023894,65.5233765589639
8050.0,62.61818312641835,60.54494605964889,62.62004161235724,63.188128035462114
8100.00048828125,62.65865657797522,61.172317386943746,62.66050794896658,64.56571913562124
8149.99951171875,62.698911119023784,61.19684650511413,62.70075660153075,65.31638367343103
8200.0,62.73895251631966,61.45036948205511,62.7407864252569,65.82544704432362
8250.0,62.778774856262835,60.87116716315431,62.78060117739795,63.793088491117246
8300.0,62.81838475302685,62.5642405791854,62.82020543199881,63.17749413708742
